id,description,bestby,price
1,Mashed Sweet Potatoes,24-03-2026,434.96
2,Insulated Cooler,28-02-2026,929.68
3,Shower Curtain Hooks,09-08-2026,2897.57
4,Hiking Gaiters,13-08-2025,186.36
5,Ceramic Planter Set,05-04-2026,3454.26
6,Sports Bottle,30-01-2026,1758.24
7,Frozen Chicken Nuggets,12-07-2026,2822.66
8,Mint Chocolate Chip Ice Cream,10-10-2025,4934.74
9,Bluetooth Car Adapter,23-05-2026,3933.74
10,Vacuum Sealer Machine,17-06-2026,627.90
11,Granola Clusters,11-12-2025,4634.65
12,Walnut Halves,30-03-2026,1385.97
13,Set of Silicone Cooking Utensils,30-08-2025,1212.83
14,Blueberry Oatmeal Cups,20-09-2025,2454.00
15,Camping Tent,31-08-2025,2183.60
16,Travel Beach Blanket,12-06-2026,2657.71
17,Spicy Tuna Rolls,04-06-2026,4393.75
18,Teriyaki Salmon Fillets,15-05-2026,1508.36
19,Travel Laundry Bag,22-10-2025,1800.79
20,Spaghetti Squash,24-02-2026,1066.36
21,High-Quality Yoga Mat,28-05-2026,3796.19
22,Roasted Garlic Pasta Sauce,29-09-2025,4490.62
23,Coconut Chia Pudding,29-07-2026,4627.40
24,Vegetable Broth,29-10-2025,1107.83
25,Desk Organizer Set,06-05-2026,1553.83
26,Organic Black Beans,28-05-2026,747.90
27,Wireless Gaming Headset,12-10-2025,4757.19
28,Electronic Drum Kit,13-12-2025,4411.80
29,Silicone Baking Mat,07-08-2026,4890.18
30,Pineapple Chunks (canned),16-05-2026,1570.27
31,Garden Tool Set with Carrying Bag,19-05-2026,4921.29
32,Instant Mashed Potatoes,26-06-2026,4374.73
33,Zesty Cilantro Lime Dressing,01-12-2025,1876.15
34,Outdoor Camping Lantern,04-02-2026,1203.55
35,Pet Grooming Kit,22-04-2026,3397.82
36,Spicy Kimchi,14-09-2025,4377.83
37,Coconut Curry Chicken,19-11-2025,3029.00
38,Spicy Italian Sausage,13-04-2026,833.66
39,Coconut Cashew Yogurt,12-06-2026,3267.23
40,Baking Powder,25-04-2026,3348.61
41,Vegan Caesar Dressing,14-11-2025,4505.39
42,Rustic Wooden Picture Frame,29-05-2026,4228.67
43,Apple Cinnamon Instant Oatmeal,08-11-2025,1075.84
44,Luxury Bathrobe,23-06-2026,3712.06
45,Cinnamon Sugar Popcorn,28-11-2025,807.61
46,Fresh Lemons,07-12-2025,4455.56
47,Portable Electric Fan,15-03-2026,782.10
48,Vegetable Stir-Fry Sauce,18-11-2025,1740.99
49,Outdoor Sports Backpack,18-05-2026,970.76
50,Decorative Throw Blanket,18-01-2026,3141.37
51,Lightweight Travel Backpack,23-04-2026,2160.97
